"COU","Country","SEX","Sex","IND","Indicator","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1986","1986","PC","Percentage","0","Units",,,17.24,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1987","1987","PC","Percentage","0","Units",,,15.63,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1989","1989","PC","Percentage","0","Units",,,11.11,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1991","1991","PC","Percentage","0","Units",,,10,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1993","1993","PC","Percentage","0","Units",,,11.5,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1995","1995","PC","Percentage","0","Units",,,14.58,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","1998","1998","PC","Percentage","0","Units",,,7.69,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2000","2000","PC","Percentage","0","Units",,,8.52,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2002","2002","PC","Percentage","0","Units",,,10.34,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2004","2004","PC","Percentage","0","Units",,,6.67,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2006","2006","PC","Percentage","0","Units",,,10.19,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2008","2008","PC","Percentage","0","Units",,,11.76,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2010","2010","PC","Percentage","0","Units",,,5.14,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2012","2012","PC","Percentage","0","Units",,,11.11,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2014","2014","PC","Percentage","0","Units",,,6.21,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2016","2016","PC","Percentage","0","Units",,,5.56,,
"ITA","Italy","TOTAL","Total","FAM7","Gender wage gap (median) for full-time employees","2018","2018","PC","Percentage","0","Units",,,5.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1970","1970","CHLD","Children","0","Units",,,5.67,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1971","1971","CHLD","Children","0","Units",,,5.6,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1972","1972","CHLD","Children","0","Units",,,5.53,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1973","1973","CHLD","Children","0","Units",,,5.44,,
"ZAF","South Africa","TOTAL","Total","FAM1","Total fertility rate","1974","1974","CHLD","Children","0","Units",,,5.35,,
